instrument,ratio_correct,ci_lo,ci_hi,n,median_abs_dRT_pred,median_obs_pred_error
orbitrap,0.60275,0.5874939205812103,0.6178089065835807,4000,1.2959880828857422,1.5342268371582009
astral,0.5755,0.5601172488121923,0.5907378699317661,4000,0.1823329925537109,0.2715368156433104
timstof,0.60675,0.5915166033748549,0.6217785479618014,4000,0.3904380798339844,0.5313873291015625
